ObsID,DateObserved,Number,Sex,Species,County,SurveyMethod,Behavior,Microsite,Pollen,Floral_ID,Floral_Habitat,Notes
3983,26-May-20,1,Queen,B. affinis (Rusty Patched),Dane,Small Area,Foraging,Leaf/Herb,No,Primula meadia,Grassland/Woodland,
3988,26-May-20,1,Queen,B. affinis (Rusty Patched),Dane,Incidental,Foraging,Herb,No,Lamprocapnos spectabilis,Developed,nectar robbing
3933,21-May-20,1,Queen,B. affinis (Rusty Patched),Racine,Incidental,NestSearch,Leaf/Herb,No,NA,NA,Jewelweed seedlings
3925,21-May-20,1,Queen,B. affinis (Rusty Patched),Milwaukee,Incidental,Foraging,Herb,No,Mertensia virginica,Woodland,
3932,21-May-20,1,Queen,B. affinis (Rusty Patched),Dane,Incidental,Foraging,Herb,No,Mertensia virginica,Woodland,nectar robbing
3890,16-May-20,1,Queen,B. affinis (Rusty Patched),Dane,Incidental,Foraging/NestSearch,Leaf,No,Lamprocapnos spectabilis,Developed,nectar robbing
3914,9-May-20,1,Queen,B. affinis (Rusty Patched),Brown,Incidental,Foraging,Unk,No,Dicentra cucullaria,Woodland,nectar robbing
3781,1-May-20,1,Queen,B. affinis (Rusty Patched),Dane,Incidental,Foraging,Unk,No,Mertensia virginica,Woodland,nectar robbing
3751,26-Apr-20,1,Queen,B. affinis (Rusty Patched),Milwaukee,Incidental,Foraging,Unk,No,Mertensia virginica,Woodland,nectar robbing
3749,26-Apr-20,1,Queen,B. affinis (Rusty Patched),Walworth,Incidental,Foraging,Unk,No,Dicentra cucullaria,Woodland,
3737,24-Apr-20,1,Queen,B. affinis (Rusty Patched),Walworth,Incidental,Foraging,Herb,No,Dicentra cucullaria,Woodland,nectar robbing
3728,23-Apr-20,1,Queen,B. affinis (Rusty Patched),Walworth,Incidental,Foraging,Unk,No,Dicentra cucullaria,Woodland,nectar robbing
3714,19-Apr-20,1,Queen,B. affinis (Rusty Patched),Dane,Incidental,Foraging,Herb/Leaf,No,Scilla siberica,Developed/Woodland,
3711,18-Apr-20,1,Queen,B. affinis (Rusty Patched),Dane,Incidental,Foraging,Herb/Leaf,No,Scilla siberica,Developed/Woodland,
3701,10-Apr-20,1,Queen,B. affinis (Rusty Patched),Dane,Incidental,NestSearch,Leaf,No,NA,NA,Resting on oak leaves
3695,7-Apr-20,1,Queen,B. affinis (Rusty Patched),Dane,Incidental,NestSearch,Leaf,Unk,NA,NA,resting in leaves
2847,14-Sep-19,1,Male,B. affinis (Rusty Patched),Dane,Incidental,Foraging,NA,NA,Solidago sp. ,Various,Observer reported it foraging on Solidago ulmifolia but the photos do not show the leaves well enough for confident ID. http://wiatri.net/inventory/bbb/exploreData/showOneObs.cfm?ObsID=2847
3575,14-Sep-19,1,Male,B. affinis (Rusty Patched),Racine,Incidental,Foraging,NA,NA,Solidago sp. ,Various,
2845,13-Sep-19,1,Queen,B. affinis (Rusty Patched),Milwaukee,Incidental,Foraging,NA,No,Cirsium sp. ,Various,Obs says native thistle. http://wiatri.net/inventory/bbb/exploreData/showOneObs.cfm?ObsID=2845
3043,7-Sep-19,1,Male,B. affinis (Rusty Patched),Brown,Incidental,Foraging,NA,NA,Pycnanthemum virginianum,Grassland ,
2776,6-Sep-19,1,Unknown,B. affinis (Rusty Patched),Milwaukee,Incidental,Foraging,NA,No,Solidago sp. ,Various,
2997,6-Sep-19,1,Female,B. affinis (Rusty Patched),Monroe,Incidental,Foraging,NA,Unk,Solidago gigantea,Various,
2773,6-Sep-19,2,Female,B. affinis (Rusty Patched),Waukesha,Incidental,Foraging,NA,Yes,Cirsium sp. ,Various,http://wiatri.net/inventory/BBB/SubmitData/UserPhotos/2773-1-affinis.jpg
3049,1-Sep-19,1,Male,B. affinis (Rusty Patched),Brown,Incidental,Foraging,NA,NA,Hieracium sp. ,Various,"The observer put the bee on this flower, so unclear if affinis normally forages on hawkweed. http://wiatri.net/inventory/bbb/exploreData/showOneObs.cfm?ObsID=3049"
2626,31-Aug-19,2,Female,B. affinis (Rusty Patched),Milwaukee,Incidental,Foraging,NA,No,Agastache scrophulariifolia,Woodland,
2641,31-Aug-19,1,Male,B. affinis (Rusty Patched),Walworth,Incidental,Foraging,NA,NA,Agastache foeniculum,Grassland/Woodland,
2675,30-Aug-19,1,Female,B. affinis (Rusty Patched),Walworth,Small Area,Foraging,NA,No,Impatiens capensis,Wetland/Woodland,
3131,30-Aug-19,1,Male,B. affinis (Rusty Patched),Kenosha,Small Area,Foraging,NA,NA,Solidago sp. ,Various,
2942,29-Aug-19,1,Male,B. affinis (Rusty Patched),Milwaukee,Incidental,Foraging,NA,NA,Melilotus alba,Various,
2583,28-Aug-19,1,Male,B. affinis (Rusty Patched),Waukesha,Incidental,Foraging,NA,NA,Eupatorium perfoliatum,Grassland/Woodland,
2609,28-Aug-19,1,Unknown,B. affinis (Rusty Patched),Waukesha,Incidental,Foraging,NA,NA,Pycnanthemum virginianum,Grassland,
2565,27-Aug-19,1,Male,B. affinis (Rusty Patched),Waukesha,Incidental,Foraging,NA,NA,Agastache sp.,Various,
2551,25-Aug-19,1,Male,B. affinis (Rusty Patched),Milwaukee,Incidental,Foraging,NA,NA,Euthamia graminifolia,Grassland,
2484,25-Aug-19,1,Male,B. affinis (Rusty Patched),Milwaukee,Incidental,Foraging,NA,NA,Eutrochium maculatum,Grassland/Wetland,
2468,24-Aug-19,1,Male,B. affinis (Rusty Patched),Waukesha,Small Area,Foraging,NA,NA,Agastache sp.,Various,
2471,23-Aug-19,1,Queen,B. affinis (Rusty Patched),Waukesha,Incidental,Foraging,Unk,No,Echinacea purpurea,Grassland,
2456,23-Aug-19,1,Female,B. affinis (Rusty Patched),Dane,Incidental,Foraging,NA,No,Monarda fistuloa,Grassland,
2700,22-Aug-19,2,Female,B. affinis (Rusty Patched),Marinette,Incidental,Foraging,NA,No,Veronicastrum virginicum,Grassland/Woodland,http://wiatri.net/inventory/bbb/exploreData/showOneObs.cfm?ObsID=2700
4007,22-Aug-19,10,Female,B. affinis (Rusty Patched),Crawford,Incidental,Foraging,NA,No,Physostegia virginiana,Grassland/Wetland,Would be good to get a verification of this floral ID. http://wiatri.net/inventory/bbb/exploreData/showOneObs.cfm?ObsID=4007
3141,22-Aug-19,1,Male,B. affinis (Rusty Patched),Waukesha,Incidental,Foraging,NA,NA,Solidago sp. ,Various,
2699,21-Aug-19,3,Female,B. affinis (Rusty Patched),Marinette,Incidental,Foraging,NA,No,Veronicastrum virginicum,Grassland/Woodland,
2417,21-Aug-19,1,Female,B. affinis (Rusty Patched),Waukesha,Incidental,Foraging,Herb,No,Liatris sp. ,Grassland/Woodland,http://wiatri.net/inventory/bbb/exploreData/showOneObs.cfm?ObsID=2417
2935,21-Aug-19,13,Female,B. affinis (Rusty Patched),Crawford,Incidental,Foraging,NA,No,Physostegia virginiana,Grassland/Wetland,
2671,20-Aug-19,2,Female,B. affinis (Rusty Patched),Walworth,Small Area,Foraging,Herb,No,Impatiens capensis,Wetland/Woodland,Maybe nectar robbing. http://wiatri.net/inventory/bbb/exploreData/showOneObs.cfm?ObsID=2671
2407,20-Aug-19,2,Female,B. affinis (Rusty Patched),Marinette,Incidental,Foraging,NA,No,Physostegia virginiana,Grassland/Wetland,
3146,20-Aug-19,1,Male,B. affinis (Rusty Patched),Milwaukee,Incidental,Foraging,NA,NA,Echinacea purpurea,Grassland,
2380,19-Aug-19,1,Male,B. affinis (Rusty Patched),Iowa,Incidental,Foraging,NA,NA,Pycnanthemum virginianum,Grassland ,
3108,19-Aug-19,2,Female,B. affinis (Rusty Patched),Waukesha,Incidental,Foraging,NA,Unk,Cirsium sp. ,Various,http://wiatri.net/inventory/bbb/exploreData/showOneObs.cfm?ObsID=3108
2991,19-Aug-19,1,Female,B. affinis (Rusty Patched),Manitowoc,Incidental,Foraging,NA,No,Monarda fistuloa,Grassland,
2339,18-Aug-19,1,Male,B. affinis (Rusty Patched),Dane,Incidental,Foraging,NA,NA,Agastache scrophulariifolia,Woodland,
2338,18-Aug-19,1,Female,B. affinis (Rusty Patched),Dane,Incidental,Foraging,NA,Unk,Hypericum sp. ,Various,Need to verify floral ID and what kinds of Hypericum spp. are at the Arboretum. http://wiatri.net/inventory/bbb/exploreData/showOneObs.cfm?ObsID=2338
2749,18-Aug-19,2,Female,B. affinis (Rusty Patched),Waukesha,Incidental,Foraging,NA,No,Solidago sp. ,Various,
2337,18-Aug-19,1,Unknown,B. affinis (Rusty Patched),Dane,Incidental,Foraging,NA,NA,Agastache scrophulariifolia,Woodland,
2323,17-Aug-19,2,Male,B. affinis (Rusty Patched),Iowa,Incidental,Foraging,NA,NA,Pycnanthemum virginianum,Grassland,
2318,17-Aug-19,1,Male,B. affinis (Rusty Patched),Waukesha,Incidental,Foraging,Herb,NA,Agastache sp.,Various,http://wiatri.net/inventory/bbb/exploreData/showOneObs.cfm?ObsID=2318
2403,16-Aug-19,1,Male,B. affinis (Rusty Patched),Rock,Incidental,Foraging,NA,NA,Monarda didyma,Various,http://wiatri.net/inventory/bbb/exploreData/showOneObs.cfm?ObsID=2403
2515,16-Aug-19,2,Female,B. affinis (Rusty Patched),Waukesha,Incidental,Foraging,NA,Unk,Unk,NA,May be Aster alpinus. Need verification: http://wiatri.net/inventory/bbb/exploreData/showOneObs.cfm?ObsID=2515
2988,16-Aug-19,1,Female,B. affinis (Rusty Patched),Brown,Incidental,Foraging,NA,Yes,Veronicastrum virginicum,Grassland/Woodland,
2600,16-Aug-19,1,Female,B. affinis (Rusty Patched),Waukesha,Incidental,Foraging,NA,Yes,Monarda didyma,Various,
2271,15-Aug-19,1,Male,B. affinis (Rusty Patched),Milwaukee,Incidental,Foraging,NA,NA,Eutrochium maculatum,Grassland/Wetland,
2422,15-Aug-19,1,Unknown,B. affinis (Rusty Patched),Rock,Incidental,Resting/Foraging,NA,NA,Agastache scrophulariifolia,Woodland,
2996,14-Aug-19,1,Unknown,B. affinis (Rusty Patched),Monroe,Small Area,Foraging,Herb,Unk,Melilotus alba,Various,
