gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3061660893	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/71216405	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus affinis		SPECIES	Bombus affinis Cresson, 1864	Bombus affinis		US		Minnesota	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	44.841898	-93.168618	27253.0						2020-09-07T09:54:54	7	9	2020	1340481	1340481	HUMAN_OBSERVATION	iNaturalist	Observations	71216405		naorkcub	2021-03-14T14:52:43	CC_BY_NC_4_0	naorkcub	naorkcub			2021-03-28T09:33:31.022Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3044694246	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/70161846	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus affinis		SPECIES	Bombus affinis Cresson, 1864	Bombus affinis		US		Wisconsin	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.010948	-89.496728	27537.0						2016-07-30T09:02:00	30	7	2016	1340481	1340481	HUMAN_OBSERVATION	iNaturalist	Observations	70161846		Mark Nofsinger	2021-02-25T21:05:01	CC_BY_NC_4_0	Mark Nofsinger	Mark Nofsinger			2021-03-28T09:28:36.763Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3031589014	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/63081947	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus affinis		SPECIES	Bombus affinis Cresson, 1864	Bombus affinis		US		Wisconsin	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.247454	-89.998509	27505.0						2020-08-04T15:12:00	4	8	2020	1340481	1340481	HUMAN_OBSERVATION	iNaturalist	Observations	63081947		Angus Mossman	2020-10-20T11:13:18	CC_BY_NC_4_0	Angus Mossman	Angus Mossman			2021-03-28T09:27:19.853Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3018052171	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/67671308	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus affinis		SPECIES	Bombus affinis Cresson, 1864	Bombus affinis		US		Minnesota	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	44.917198	-93.325708	27253.0						2020-08-30T17:09:53	30	8	2020	1340481	1340481	HUMAN_OBSERVATION	iNaturalist	Observations	67671308		zportman	2021-01-07T00:22:22	CC_BY_NC_4_0	laurlou	laurlou			2021-03-28T09:34:21.774Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3017973460	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/54473243	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus affinis		SPECIES	Bombus affinis Cresson, 1864	Bombus affinis		US		Minnesota	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	44.828139	-92.973195	27253.0						2020-07-26T19:58:00	26	7	2020	1340481	1340481	HUMAN_OBSERVATION	iNaturalist	Observations	54473243		zportman	2021-01-02T04:27:55	CC_BY_NC_4_0	labnerd	labnerd			2021-03-28T09:44:00.405Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3014095496	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/54881954	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus affinis		SPECIES	Bombus affinis Cresson, 1864	Bombus affinis		US		Wisconsin	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.068529	-89.46476	27537.0						2020-07-30T16:49:17	30	7	2020	1340481	1340481	HUMAN_OBSERVATION	iNaturalist	Observations	54881954		Tony Ernst	2020-12-30T23:48:06	CC_BY_NC_4_0	baristapowers	baristapowers			2021-03-28T09:26:44.600Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2999176638	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/66092531	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus affinis		SPECIES	Bombus affinis Cresson, 1864	Bombus affinis		US		Wisconsin	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.16087	-89.573254	27537.0						2019-07-22T09:52:00	22	7	2019	1340481	1340481	HUMAN_OBSERVATION	iNaturalist	Observations	66092531		Mark Nofsinger	2020-12-04T15:44:39	CC_BY_NC_4_0	Mark Nofsinger	Mark Nofsinger			2021-03-28T09:27:06.531Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2992840489	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/55605108	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus affinis		SPECIES	Bombus affinis Cresson, 1864	Bombus affinis		US		Minnesota	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.121127	-93.142576	27222.0						2020-08-05T13:48:00	5	8	2020	1340481	1340481	HUMAN_OBSERVATION	iNaturalist	Observations	55605108		Elaine Evans	2020-11-25T02:45:15	CC_BY_NC_4_0	kesidles	kesidles			2021-03-28T09:47:21.021Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2988609766	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/63083793	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus affinis		SPECIES	Bombus affinis Cresson, 1864	Bombus affinis		US		Wisconsin	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.329018	-89.939336	27505.0						2020-08-05T15:57:00	5	8	2020	1340481	1340481	HUMAN_OBSERVATION	iNaturalist	Observations	63083793		Angus Mossman	2020-10-20T11:59:23	CC_BY_NC_4_0	Angus Mossman	Angus Mossman			2021-03-28T09:42:13.296Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2988379205	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/65020477	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus affinis		SPECIES	Bombus affinis Cresson, 1864	Bombus affinis		US		Minnesota	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	44.857887	-93.513231	27253.0						2020-08-01T13:35:00	1	8	2020	1340481	1340481	HUMAN_OBSERVATION	iNaturalist	Observations	65020477		beeks47pg	2020-11-16T16:59:51	CC_BY_NC_4_0	beeks47pg	beeks47pg			2021-03-28T09:41:31.143Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
